User_ID,Title,Text,Parent_asin,Timestamp,Rating
AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,Good,Good gift card,B00BXLW5QC,1652642526420,5.0
AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,Good Product,Good Product,B018F4M89S,1647201883803,5.0
AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,Good Product,Good Product,B00JFBLZ90,1643574023858,5.0
AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,Good Product,Good Product,B0BT85F69N,1621794097012,5.0
AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,Good Product,Good Product,B07HJD9FVV,1618607813583,5.0
AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,Good product,Good product,B07HJHK8Y5,1610319642327,5.0
AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,Good Product,Good Product,B01MSBQB1P,1600998736261,5.0
AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,Good Product,Good Product,B077N4CNVJ,1594616189941,5.0
AFMHO73ZLBHUMB36EHB4GUFLM3SA,Good litte thank-you gifts,"I'm happy they did not cost me more than their face value to buy. I gave them out as a nice thank you to those who helped me with small things around my house. I sent them in the mail as a surprise, knowing money or gifts was not necessary. I recommend them.",B00FTGTIOE,1653086469676,5.0
AFMHO73ZLBHUMB36EHB4GUFLM3SA,Okay as a gift,"After I bought several I realized I could have sent ""gift"" money via text without the fees or wait.",B07GH6WX29,1641431818335,3.0
AFMHO73ZLBHUMB36EHB4GUFLM3SA,Good gift,"Those who already have everything, they can buy an audible book, an old rerun of a favorite movie, some little thing they may want, or whatever as a gift for any occasion. I recommend.",B077N4CNVJ,1629478719766,5.0
AFMHO73ZLBHUMB36EHB4GUFLM3SA,So convenient.,"Arrived on time, in perfect shape, and best of all the person receiving the gift can buy whatever they want. One size fits all!",B07HJHK8Y5,1617599581065,5.0
AFMHO73ZLBHUMB36EHB4GUFLM3SA,Just what was ordered.,Made holiday shopping easy!,B00IX1I3G6,1577392181310,5.0
AFTQN4MTJHHVFM4FEXY5KT76OY4A,Very nice!,"It's so sweet to be able to give an Amazon gift card in a cute little box like this. I think it feels nicer than handing someone a envelope. And this way, the recipient has something to open..... Everyone likes opening a surprise. And what could be better than finding an Amazon gift card inside, lol! This truly is the perfect gift!!!",B018Y7OGRI,1642234516636,5.0
AFTQN4MTJHHVFM4FEXY5KT76OY4A,Love it,"Looks nice and love the simple little black box. Arrived quick too; in 36 hours or so. I love giving Amazon gift cards. It's so much nicer to be able to hand someone a little gift box over an envelope, anyday.",B077N4CNVJ,1617346847395,5.0
AFTQN4MTJHHVFM4FEXY5KT76OY4A,So Cute!!!,"Absolutely adorable box....  what a fun way to give a gift card in a way that also allows the recipient feels like they ""opened"" a gift too. Love it!!!",B0719C5P56,1609376805380,5.0
AFTQN4MTJHHVFM4FEXY5KT76OY4A,Love it!!!,"I love giving Amazon gift cards to my kid's teacher's at Xmas and the end of the school year. I really appreciate that Amazon sends along this adorably manly box. I like being able to hand them something wrapped rather than just a card. It somehow feels more personal. And then they get the joy of opening a wrapped gift, which everyone loves that feeling.  I can't recommend Amazon's gift card boxes enough!!!!",B07FKKBFHS,1599371439355,5.0
AFTQN4MTJHHVFM4FEXY5KT76OY4A,Very nice,"I love giving gift cards as holiday and end of year gifts to my children's teachers; but I feel awkward handing them a gift card in a card. It feels nice to hand them a pretty wrapped box, even if that box is tiny. It feels more like I am giving a present that way. And they get the ""joy"" of getting to open something, which everyone loves that feeling.  It's a cute, non xmas themed gift box without looking cheesy. I hope Amazon keeps this one around for a while.",B073VBZM8J,1599255961565,5.0
AFTQN4MTJHHVFM4FEXY5KT76OY4A,Quick shipping,The perfect small gift!!! Who wouldn't want an Amazon gift card. Seriously?,B071X4ZX3X,1598577322091,5.0
AFTQN4MTJHHVFM4FEXY5KT76OY4A,Really cute,Love Amazon's holiday gift card boxes.... Each year they get cuter and cuter!!!  It's nice that the recipient has something physical to open besides just a plastic gift card inside a Xmas card. Excellent teacher presents!!!,B07DDDS9R4,1595519069567,5.0
AG3G7OTDDNO3WMAZVZU7CDR3LG3A,Cute packaging,Cute container and matched my gold and black Christmas color theme.,B018F4M89S,1577981341191,5.0
AG3G7OTDDNO3WMAZVZU7CDR3LG3A,The recipient loved it.,"Bought it as a gift, The recipient loved it.",B0091JKQ50,1452362154000,5.0
AG3G7OTDDNO3WMAZVZU7CDR3LG3A,The recipient loved it.,"Bought it as a gift, The recipient loved it.",B00BXLW2AQ,1452361081000,5.0
AG3G7OTDDNO3WMAZVZU7CDR3LG3A,The recipient loved it.,"Bought it as a gift, The recipient loved it.",B00BXLW5QC,1452361073000,5.0
AG3G7OTDDNO3WMAZVZU7CDR3LG3A,Five Stars,"Perfect. Bought as a gift, the recipient loved it.",B00BXLSJXA,1451185407000,5.0
AG3G7OTDDNO3WMAZVZU7CDR3LG3A,Five Stars,"Perfect. Bought as a gift, the recipient loved it.",B00BXLSUF2,1451185398000,5.0
AGCQKUTNGLBQZPDCRBATCITUSY5A,Who doesn’t want an amazon gift card.,"Love, love love ❤️",B005S28ZES,1565829642028,5.0
AGCQKUTNGLBQZPDCRBATCITUSY5A,Great Gift 🎁,Excellent,B07GFQ5B44,1565828994550,5.0
AGCQKUTNGLBQZPDCRBATCITUSY5A,Give money makes me broke but the gifted happy!,He loved it & I loved his face!,B01MSBQB1P,1561447833496,5.0
AGCQKUTNGLBQZPDCRBATCITUSY5A,Gift loved Birthday !,Gift loved,B01N5TMK8I,1561447688824,5.0
AGCQKUTNGLBQZPDCRBATCITUSY5A,Great Gift,Gift & loved the smiles when they opened them. Great gift idea. Everything they by they will think thx Lisa.z❤️,B07HJHK8Y5,1561446818837,5.0
AGCQKUTNGLBQZPDCRBATCITUSY5A,Gift 💐❤️🍾🥂,Gift loved.,B07HJD9FVV,1561446723990,5.0
AGCQKUTNGLBQZPDCRBATCITUSY5A,Great Gift!,Great!,B00BXLSUF2,1556771589920,5.0
AGCQKUTNGLBQZPDCRBATCITUSY5A,they really enjoyed the movies 🎥 they saw thx,Gave as a gift to my parents.. they really enjoyed the movies 🎥 they saw thx REGAL,B00FTGSKL6,1497031192627,5.0
AFC2DAKRFMKGNS5XXFUKY5P7TZCQ,Gift,Gift very happy,B00ADR2LV6,1658995634351,5.0
AFC2DAKRFMKGNS5XXFUKY5P7TZCQ,Gift,Gift,B0719C5P56,1619374349982,5.0
AFC2DAKRFMKGNS5XXFUKY5P7TZCQ,Gift,Gift,B00JFBLZ90,1616002286112,5.0
AFC2DAKRFMKGNS5XXFUKY5P7TZCQ,Gift,Gift,B077N4CNVJ,1580995407108,5.0
AFC2DAKRFMKGNS5XXFUKY5P7TZCQ,Gift,Gift,B071X4ZX3X,1580995373703,5.0
AE3X3OR52JVXEIQUXWVUP5XC5HYQ,Great gift so they get what they need,Great gift so they get what they need,B07GH6WX29,1640036222270,5.0
